[Plugin: servo_sweeper] Servo Sweeper initialized on pin 10.
Plugin 'servo_sweeper' loaded.
STARTING
Sending configuration to Arduino...
Configuring pins for key mapping...
Configuring pins for plugins...
Configuration sent successfully.
Pressed key: a
Pressed key: b
Released key: b
Auto-released key: a
Pressed key: c
Released key: c
Pressed key: a
Pressed key: c
Released key: c
Pressed key: b
Released key: b
Auto-released key: a
Pressed key: a
Pressed key: b
Released key: b
Auto-released key: a
Pressed key: a
Auto-released key: a
Pressed key: a
Pressed key: b
Released key: b
Pressed key: c
Auto-released key: a
Released key: c
Pressed key: a
Auto-released key: a
Pressed key: a
Pressed key: b
Released key: b
Pressed key: c
Released key: c
Auto-released key: a
Pressed key: a
Auto-released key: a
Pressed key: a
Auto-released key: a
Pressed key: c
Released key: c
Pressed key: a
Auto-released key: a
Pressed key: a
Pressed key: b
Released key: b
Auto-released key: a
Pressed key: a
Auto-released key: a
Pressed key: a
Auto-released key: a
Pressed key: c
Released key: c
Pressed key: a
Auto-released key: a
Pressed key: a
Pressed key: b
Released key: b
Pressed key: c
Auto-released key: a
Released key: c
Pressed key: a
Auto-released key: a
Pressed key: a
Pressed key: b
Released key: b
Pressed key: c
Auto-released key: a
Released key: c
Pressed key: a
Pressed key: b
Released key: b
Auto-released key: a
Pressed key: a
Auto-released key: a
Pressed key: c
Released key: c
Pressed key: a
Auto-released key: a
Pressed key: a
Pressed key: b
Released key: b
Auto-released key: a
Pressed key: a
Auto-released key: a
Pressed key: a
Auto-released key: a
Pressed key: c
Released key: c
Pressed key: a
Pressed key: c
Released key: c
Pressed key: b
Released key: b
Auto-released key: a
Pressed key: a
Auto-released key: a
Pressed key: c
Released key: c
Pressed key: a
Pressed key: c
Released key: c
Auto-released key: a
Pressed key: a
Auto-released key: a
Pressed key: c
Released key: c
Pressed key: a
Pressed key: c
Released key: c
Auto-released key: a
Pressed key: a
Auto-released key: a
Pressed key: c
Released key: c
Pressed key: a
Pressed key: c
Released key: c
Auto-released key: a
Pressed key: a
Auto-released key: a
Pressed key: c
Released key: c
Pressed key: a
Pressed key: c
Released key: c
Auto-released key: a
Pressed key: a
Auto-released key: a
Pressed key: c
Released key: c
Pressed key: a
Pressed key: c
Released key: c
Auto-released key: a
Pressed key: a
Auto-released key: a
Pressed key: c
Released key: c
Pressed key: a
Pressed key: c
Released key: c
Auto-released key: a
Pressed key: a
Auto-released key: a

[INFO] Shutting down...
Cleaning up...
Serial port closed. Exiting.
